name,filename,source,accession
SETDB1,wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk.narrowPeak,ENCODE,GSE31477
SIN3AK20,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk.narrowPeak,ENCODE,GSE32465
SIRT6,wgEncodeAwgTfbsSydhK562Sirt6UniPk.narrowPeak,ENCODE,GSE31477
SIX5,wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SMARCA4,wgEncodeAwgTfbsSydhK562Brg1IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMARCB1,wgEncodeAwgTfbsSydhK562Ini1IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMC3,wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk.narrowPeak,ENCODE,GSE31477
SP1,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SP2,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk.narrowPeak,ENCODE,GSE32465
SPI1,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
SRF,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk.narrowPeak,ENCODE,GSE32465
STAT1,wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk.narrowPeak,ENCODE,GSE31477
STAT2,wgEncodeAwgTfbsSydhK562Stat2Ifna6hUniPk.narrowPeak,ENCODE,GSE31477
STAT5A,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk.narrowPeak,ENCODE,GSE32465
SUZ12,wgEncodeBroadHistoneK562Suz12051317Pk.broadPeak,ENCODE,GSE29611
TAF1,wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk.narrowPeak,ENCODE,GSE32465
TAF7,wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk.narrowPeak,ENCODE,GSE32465
TAL1,wgEncodeAwgTfbsSydhK562Tal1sc12984IggmusUniPk.narrowPeak,ENCODE,GSE31477
TBL1XR1,wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk.narrowPeak,ENCODE,GSE31477
TBP,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk.narrowPeak,ENCODE,GSE31477
TEAD4,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk.narrowPeak,ENCODE,GSE32465
THAP1,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk.narrowPeak,ENCODE,GSE32465
TRIM28,wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk.narrowPeak,ENCODE,GSE32465
UBTF,wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk.narrowPeak,ENCODE,GSE31477
